Designator,Mid X,Mid Y,Rotation,Layer
C1,81.915,-63.18,90.0,top
C2,84.074,-63.18,90.0,top
C3,74.803,-54.102,0.0,top
C4,64.389,-54.102,0.0,top
D1,86.487,-63.754,-90.0,top
J1,89.662,-60.579,180.0,top
J2,64.262,-70.104,180.0,top
J3,84.851,-70.744,90.0,top
J4,76.581,-50.419,-90.0,top
J5,80.264,-50.419,90.0,top
J6,60.579,-64.145,0.0,top
J7,60.579,-56.129,0.0,top
J8,87.376,-74.422,0.0,top
J9,91.821,-74.417,0.0,top
R1,78.2085,-68.199,180.0,top
R2,78.232,-70.231,0.0,top
R3,71.247,-54.102,0.0,top
R4,67.691,-68.072,0.0,top
R5,67.755,-69.596,0.0,top
R6,67.691,-71.12,0.0,top
R7,67.818,-54.102,180.0,top
U1,84.074,-56.769,90.0,top
U2,74.422,-61.595,0.0,top
U3,65.415,-76.332,90.0,top
