Designator,Mid X,Mid Y,Rotation,Layer
C1,114.173,-56.007,90.0,top
C2,112.141,-56.007,90.0,top
C3,113.284,-69.596,0.0,top
C4,116.459,-67.691,90.0,top
D1,112.903,-53.086,180.0,top
J1,107.315,-53.589,0.0,top
J3,107.711,-63.632,90.0,top
J5,119.253,-54.229,0.0,top
J6,119.38,-79.375,180.0,top
J7,119.38,-65.527,0.0,top
R1,107.442,-74.168,0.0,top
R2,107.442,-72.136,180.0,top
R3,107.442,-68.58,0.0,top
R4,115.951,-74.422,180.0,top
R5,115.951,-72.898,180.0,top
R6,115.951,-71.374,180.0,top
R7,116.459,-62.865,270.0,bottom
U1,113.538,-55.626,180.0,bottom
U2,111.76,-70.358,0.0,bottom
U3,107.696,-79.375,90.0,top
