Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C_0805_2012Metric,2,100n,
C2,C_0805_2012Metric,1,10u,
"C4, C5",C_0805_2012Metric,2,22p,
"D1, D2, D3, D4",LED_0805_2012Metric,4,LED,
J2,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
J3,PinHeader_2x03_P2.54mm_krai,1,AVR-ISP-6,
R1,R_0805_2012Metric,1,10k,
"R2, R3",R_0805_2012Metric,2,1k,
"R4, R5, R6, R7",R_0603_1608Metric,4,620,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega8A-A,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U4,NRF24L01-Module-SMD,1,NRF24L01_Breakout,
Y1,Crystal_HC49-U_Vertical,1,12MHz,
