Designator,Mid X,Mid Y,Rotation,Layer
C1,177.673,-88.519,90.0,bottom
C2,179.705,-88.519,90.0,bottom
C3,164.211,-87.63,180.0,top
C4,172.466,-85.598,0.0,bottom
C5,172.466,-82.296,0.0,bottom
D1,180.086,-93.853,-90.0,top
D2,180.086,-81.153,90.0,top
D3,153.1175,-94.488,0.0,top
D4,153.1175,-80.518,0.0,top
J2,190.373,-87.503,0.0,top
J3,166.624,-94.8375,90.0,bottom
R1,163.957,-84.455,180.0,top
R2,164.211,-91.694,180.0,top
R3,164.211,-89.662,180.0,top
R4,180.086,-93.853,-90.0,bottom
R5,180.086,-81.153,90.0,bottom
R6,154.8955,-94.615,180.0,bottom
R7,154.8955,-80.391,180.0,bottom
U1,172.212,-90.424,180.0,bottom
U2,156.718,-87.376,90.0,bottom
U3,172.974,-90.551,-90.0,top
U4,159.512,-87.503,0.0,top
Y1,175.006,-83.82,180.0,top
