Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,
"C2, C3",0805,2,10u,
"D1, D2",0805,2,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J4,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14,
"R1, R5",0805,2,10К,
"R2, R6",0805,2,620,
"SW1, SW2",SW_PUSH_6mm_H4.3mm,2,SW_Push_Dual_x2,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,
U3,NRF24L01-SMD,1,NRF24L01_Breakout,
