Designator,Mid X,Mid Y,Rotation,Layer
C1,118.618,-86.487,0.0,top
C2,112.268,-64.389,90.0,top
C3,127.45,-86.548,180.0,top
D1,127.43,-84.516,180.0,top
D2,118.618,-84.5,180.0,top
J1,138.049,-97.216,180.0,top
J2,138.049,-81.976,180.0,top
J3,138.049,-92.136,180.0,top
J4,108.4,-97.216,180.0,top
R1,133.98,-79.68,270.0,top
R2,123.5,-84.5,0.0,top
R5,115.062,-89.43,0.0,top
R6,114.5,-84.5,0.0,top
SW1,130.846,-98.688,90.0,top
SW2,115.661,-92.188,270.0,top
U1,133.096,-86.04,90.0,top
U2,123.199,-71.755,0.0,top
U3,123.19,-97.47,180.0,top
