Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,22p,
"C2, C5, C6",0805,3,100n,
"C3, C7",0805,2,10u,
J1,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
"R1, R3, R5",0805,3,10k,
"R2, R4",0805,2,620,
U1,NRF24L01-Module-SMD,1,NRF24L01_Breakout,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F030F4Px,
Y1,Crystal_HC49-U_Vertical,1,Crystal,
