Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C5, C6",C_0805_2012Metric,3,100n,
C3,C_0805_2012Metric,1,10u,
D1,D_SOD-123,1,1N4148W,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J2, J3, J4",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,SolderJumper_2_Open,
"R1, R3",R_0805_2012Metric,2,10k,
R2,R_0603_1608Metric,1,620,
R4,R_0805_2012Metric,1,"4,7k",
U1,nRF24L01_Breakout,1,NRF24L01_Breakout,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F030F4Px,
