Designator,Mid X,Mid Y,Rotation,Layer
C2,177.8,-106.426,180.0,bottom
C3,177.8,-108.458,180.0,bottom
C5,167.005,-103.505,270.0,bottom
C6,167.005,-108.585,90.0,bottom
D1,169.164,-107.315,270.0,top
J1,164.084,-113.284,90.0,top
J2,170.434,-113.284,90.0,top
J3,170.434,-101.6,90.0,top
J4,152.664,-113.284,90.0,top
R1,158.496,-110.363,180.0,top
R2,158.242,-108.458,180.0,top
R3,172.212,-106.426,0.0,bottom
R4,172.212,-108.458,0.0,bottom
U1,152.354,-101.817,0.0,top
U2,175.514,-107.442,0.0,top
U3,161.036,-107.061,180.0,bottom
